[2024-03-29 16:03:14,075][regelum][INFO] - Saved summary to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/SUMMARY.html. (174ms)
[2024-03-29 16:03:16,026][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 1/5.
[2024-03-29 16:03:16,028][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:17,792][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 1/5.
[2024-03-29 16:03:17,794][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:19,347][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 1/5.
[2024-03-29 16:03:19,348][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:20,134][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:03:21,743][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 2/5. Estimated remaining time: 0:00:20.
[2024-03-29 16:03:21,745][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:23,442][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 2/5. Estimated remaining time: 0:00:18.
[2024-03-29 16:03:23,444][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:25,072][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 2/5. Estimated remaining time: 0:00:16.
[2024-03-29 16:03:25,074][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:25,084][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:03:26,932][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 3/5. Estimated remaining time: 0:00:14.
[2024-03-29 16:03:26,934][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:28,865][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 3/5. Estimated remaining time: 0:00:12.
[2024-03-29 16:03:28,866][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:30,652][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 3/5. Estimated remaining time: 0:00:10.
[2024-03-29 16:03:30,653][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:30,665][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:03:32,725][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 4/5. Estimated remaining time: 0:00:09.
[2024-03-29 16:03:32,727][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:34,557][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 4/5. Estimated remaining time: 0:00:07.
[2024-03-29 16:03:34,559][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:36,585][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 4/5. Estimated remaining time: 0:00:05.
[2024-03-29 16:03:36,587][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:36,598][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:03:38,505][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 5/5. Estimated remaining time: 0:00:03.
[2024-03-29 16:03:38,507][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:40,333][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 5/5. Estimated remaining time: 0:00:01.
[2024-03-29 16:03:40,335][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:42,156][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 5/5. Estimated remaining time: 0:00:00.
[2024-03-29 16:03:42,158][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-03-10/0/callbacks.dill. (0ms)
[2024-03-29 16:03:42,169][regelum][INFO] - A pedestrian policy updated...
