[2024-03-29 14:37:13,907][regelum][INFO] - Saved summary to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/SUMMARY.html. (176ms)
[2024-03-29 14:37:15,511][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 1/5.
[2024-03-29 14:37:15,512][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:17,177][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 1/5.
[2024-03-29 14:37:17,179][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:18,695][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 1/5.
[2024-03-29 14:37:18,696][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:19,792][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 14:37:21,369][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 2/5. Estimated remaining time: 0:00:21.
[2024-03-29 14:37:21,370][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:22,964][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 2/5. Estimated remaining time: 0:00:18.
[2024-03-29 14:37:22,966][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:24,480][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 2/5. Estimated remaining time: 0:00:16.
[2024-03-29 14:37:24,482][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:24,492][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 14:37:26,070][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 3/5. Estimated remaining time: 0:00:14.
[2024-03-29 14:37:26,072][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:27,663][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 3/5. Estimated remaining time: 0:00:12.
[2024-03-29 14:37:27,664][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:29,195][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 3/5. Estimated remaining time: 0:00:10.
[2024-03-29 14:37:29,197][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:29,207][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 14:37:30,836][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 4/5. Estimated remaining time: 0:00:08.
[2024-03-29 14:37:30,838][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:32,428][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 4/5. Estimated remaining time: 0:00:06.
[2024-03-29 14:37:32,429][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:34,000][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 4/5. Estimated remaining time: 0:00:05.
[2024-03-29 14:37:34,001][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:34,013][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 14:37:35,656][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 5/5. Estimated remaining time: 0:00:03.
[2024-03-29 14:37:35,657][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:37,291][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 5/5. Estimated remaining time: 0:00:01.
[2024-03-29 14:37:37,292][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:39,132][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 5/5. Estimated remaining time: 0:00:00.
[2024-03-29 14:37:39,133][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/14-37-10/0/callbacks.dill. (0ms)
[2024-03-29 14:37:39,145][regelum][INFO] - A pedestrian policy updated...
