[2024-03-29 16:34:20,870][regelum][INFO] - Saved summary to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/SUMMARY.html. (178ms)
[2024-03-29 16:34:22,740][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 1/5.
[2024-03-29 16:34:22,742][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:24,523][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 1/5.
[2024-03-29 16:34:24,524][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:26,137][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 1/5.
[2024-03-29 16:34:26,139][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:26,906][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:34:28,569][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 2/5. Estimated remaining time: 0:00:21.
[2024-03-29 16:34:28,571][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:30,255][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 2/5. Estimated remaining time: 0:00:18.
[2024-03-29 16:34:30,256][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:31,945][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 2/5. Estimated remaining time: 0:00:16.
[2024-03-29 16:34:31,947][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:31,957][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:34:33,818][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 3/5. Estimated remaining time: 0:00:14.
[2024-03-29 16:34:33,820][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:35,712][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 3/5. Estimated remaining time: 0:00:12.
[2024-03-29 16:34:35,714][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:37,734][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 3/5. Estimated remaining time: 0:00:11.
[2024-03-29 16:34:37,736][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:37,747][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:34:39,448][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 4/5. Estimated remaining time: 0:00:09.
[2024-03-29 16:34:39,450][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:41,157][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 4/5. Estimated remaining time: 0:00:07.
[2024-03-29 16:34:41,159][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:42,866][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 4/5. Estimated remaining time: 0:00:05.
[2024-03-29 16:34:42,868][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:42,878][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:34:44,605][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 5/5. Estimated remaining time: 0:00:03.
[2024-03-29 16:34:44,607][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:46,373][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 5/5. Estimated remaining time: 0:00:01.
[2024-03-29 16:34:46,375][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:48,137][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 5/5. Estimated remaining time: 0:00:00.
[2024-03-29 16:34:48,139][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-34-17/0/callbacks.dill. (0ms)
[2024-03-29 16:34:48,149][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:34:48,160][regelum][INFO] - Script terminated successfully.
